"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/Art/Materials/M_RecordPlayer_03.M_RecordPlayer_03","0","14","0","1","0.000000","0","0"
"/Game/Art/Materials/M_RecordPlayer_03.M_RecordPlayer_03","49","14","0","1","0.000000","0","0"
